group_name,product_id
Flavorings,1011
Flavors,240
Flavors,255
Flavors,413
Flavors,728
Folate,291
Folate,998
Food Complex,963
Food Complex,964
Fructooligosaccharides,446
Fruit and Vegetable Juice,779
Fruit Nutrients,886
Gelatin,259
Gelatin,292
Gelatin,357
Gelatin,418
Gelatin,454
Gelatin,465
Gelatin,511
Gelatin,527
Gelatin,560
Gelatin,634
Gelatin,771
Gelatin,796
Gelatin,887
Gelatin,918
Gelatin,999
Gelatin Capsule,801
Gellan Gum,737
Ginger,323
Glucose,358
Glycerin,452
Glycerin,466
Glycerin,506
Glycerin,528
Glycerin,564
Glycerin,603
Glycerin,763
Glycerin,772
Glycerin,802
Glycerin,888
Glycerin,1034
Grape Seed Extract,803
Green Tea Extract,804
Green Tea Extract,889
Gum Acacia,587
Gum Acacia,1000
Gum Arabic,359
Gum Arabic,419
Gum Arabic,435
Gummy Base,635
Gums,683
Gums,684
Gums,687
Gums,697
Hesperidin Complex,168
Hydrolyzed Whey Protein,674
Hydroxypropyl Methylcellulose,360
Hydroxypropyl Methylcellulose,420
Hypromellose,507
Hypromellose,738
Hypromellose,838
Hypromellose,965
Hypromellose Capsule,805
Inositol,169
Inositol,806
Inulin,196
Inulin,637
Inulin,690
Inulin,962
Iodine,293
Iodine,376
Iodine,650
Iron,294
Iron,355
Iron,464
Iron,530
Iron,852
Iron,960
Iron,1001
Isomalto-oligosaccharides,437
Kelp Extract,853
Lac Resin,584
Lactic Acid,919
Lecithin,182
Lecithin,215
Lecithin,217
Lecithin,232
Lecithin,243
Lecithin,412
Lecithin,440
Lecithin,619
Lecithin,758
Lecithin,807
Lecithin,977
Lecithin,1027
Lemon Bioflavonoid Complex,170
Lemon Juice,319
Leucine,839
Lutein,295
Lutein,808
Lycopene,296
Lycopene,361
Lycopene,638
Lycopene,809
Magnesium,154
Magnesium,193
Magnesium,222
Magnesium,260
Magnesium,263
Magnesium,269
Magnesium,270
Magnesium,297
Magnesium,331
Magnesium,362
Magnesium,363
Magnesium,421
Magnesium,422
Magnesium,442
Magnesium,443
Magnesium,444
Magnesium,445
Magnesium,467
Magnesium,468
Magnesium,482
Magnesium,508
Magnesium,515
Magnesium,531
Magnesium,532
Magnesium,533
Magnesium,534
Magnesium,535
Magnesium,536
Magnesium,561
Magnesium,571
Magnesium,609
Magnesium,610
Magnesium,639
Magnesium,708
Magnesium,720
Magnesium,739
Magnesium,754
Magnesium,780
Magnesium,810
Magnesium,811
Magnesium,812
Magnesium,813
Magnesium,814
Magnesium,815
Magnesium,854
Magnesium,855
Magnesium,869
Magnesium,891
Magnesium,892
Magnesium,893
Magnesium,894
Magnesium,895
Magnesium,896
Magnesium,939
Magnesium,940
Magnesium,961
Magnesium,1002
Magnesium,1003
Magnesium,1004
Magnesium,1005
Magnesium,1006
Magnesium,1035
Magnesium Silicate,153
Magnesium Stearate,764
Magnesium Stearate,905
Malic Acid,781
Malic Acid,870
Maltodextrin,187
Maltodextrin,239
Maltodextrin,271
Maltodextrin,364
Maltodextrin,537
Maltodextrin,588
Maltodextrin,640
Maltodextrin,941
Maltodextrin,1007
Manganese,172
Manganese,272
Manganese,298
Manganese,365
Manganese,469
Manganese,572
Manganese,641
Manganese,642
Manganese,721
Manganese,782
Manganese,871
Manganese,942
Manganese,1008
MCT Oil,767
Medium Chain Triglycerides,202
Medium Chain Triglycerides,366
Medium Chain Triglycerides,538
Medium Chain Triglycerides,643
Medium Chain Triglycerides,943
Microcrystalline Cellulose,367
Microcrystalline Cellulose,423
Microcrystalline Cellulose,470
Microcrystalline Cellulose,516
Microcrystalline Cellulose,644
Microcrystalline Cellulose,759
Microcrystalline Cellulose,840
Microcrystalline Cellulose,1009
Milk Protein,433
Molybdenum,299
Molybdenum,368
Molybdenum,385
Monk Fruit,320
Monk Fruit Extract,203
Natural and Artificial Flavor,675
Natural Flavor,204
Natural Flavor,213
Natural Flavor,483
Natural Flavor,484
Natural Flavor,491
Natural Flavor,492
Natural Flavor,676
Natural Flavor,750
Natural Flavor,783
Natural Flavor,818
Natural Flavor,973
Natural Flavors,223
Natural Flavors,230
Natural Flavors,645
Natural Flavors,872
Natural Flavors,873
Natural Flavors,874
Natural Flavors,876
Natural Vanilla Flavor,844
Oil and Wax Blend,916
Oil Fill,819
Oil Fill,898
Olive Oil,453
Omega-3 DHA,741
Orange Flavor,188
Palm Oil,541
Para-Aminobenzoic Acid,174
Performance Support Nutrients,820
Pharmaceutical Glaze,1016
Pink Himalayan Salt,574
Pink Himalayan Salt,784
Plant Protein,197
Plant Protein,201
Plant Protein,205
Plant Protein,206
PlantGel Capsule,768
Polydextrose,373
Polyethylene Glycol,155
Polyethylene Glycol,273
Polyethylene Glycol,424
Polysorbate 80,425
Polyvinyl Alcohol,156
Polyvinyl Alcohol,274
Polyvinyl Alcohol,374
Polyvinyl Alcohol,947
Polyvinylpolypyrrolidone,649
Pomegranate,324
Pomegranate Extract,821
Potassium,189
Potassium,194
Potassium,224
Potassium,256
Potassium,302
Potassium,333
Potassium,375
Potassium,471
Potassium,485
Potassium,490
Potassium,493
Potassium,575
Potassium,611
Potassium,695
Potassium,704
Potassium,717
Potassium,724
Potassium,755
Potassium,785
Potassium,786
Potassium,857
Potassium,877
Potassium,878
Potassium,899
Prebiotic Fiber,751
Probiotics,283
Probiotics,752
Rebaudioside A,875
Rebaudioside A,879
Red 40 Lake,275
Resveratrol,823
Resveratrol,900
Rhodiola Rosea Extract,824
Rice Bran,179
Rice Bran Extract,691
Rice Dextrin,692
Rice Flour,542
Rice Flour,901
Rice Powder,261
Rice Powder,1021
Rice Protein,180
Rosemary Extract,693
Rutin,181
Safflower Oil,509
Salt,214
Salt,241
Salt,327
Salt,439
Salt,677
Salt,696
Salt,712
Salt,718
Salt,723
Salt,729
Salt,749
Salt,974
Salt,1022
Selenium,304
Selenium,380
Selenium,386
Selenium,472
Selenium,591
Selenium,653
Selenium,655
Selenium,902
Selenium,952
Silica,262
Silica,381
Silica,543
Silica,544
Silica,592
Silica,742
Silica,761
Silica,825
Silica,951
Silica,1023
Silica,1024
Silicate,382
Silicon Dioxide,426
Silicon Dioxide,496
Silicon Dioxide,510
Silicon Dioxide,654
Silicon Dioxide,787
Silicon Dioxide,841
Silicon Dioxide,903
Silicon Dioxide,975
Sodium,190
Sodium,225
Sodium,334
Sodium,486
Sodium,495
Sodium,497
Sodium,612
Sodium,756
Sodium,858
Sodium Chloride,577
Sodium Chloride,880
Sorbate,388
Sorbitol,954
Soy Lecithin,678
Soybean Oil,473
Soybean Oil,545
Soybean Oil,562
Soybean Oil,774
Soybean Oil,1028
Starch,387
Starch,390
Starch,540
Starch,546
Starch,955
Starch,1015
Starch,1029
Stearic Acid,157
Stearic Acid,427
Stearic Acid,547
Stearic Acid,656
Stearic Acid,765
Stearic Acid,826
Stearic Acid,907
Stevia,325
Stevia,448
Stevia,694
Stevia,722
Stevia,788
Stevia Extract,436
Stevia Extract,498
Stevia Leaf Extract,487
Stevia Leaf Extract,1031
Sucralose,216
Sucralose,242
Sucralose,679
Sucralose,713
Sucralose,730
Sucralose,789
Sucralose,1032
Sucrose,428
Sugar,191
Sugar,231
Sugar,391
Sugar,489
Sugar,494
Sugar,548
Sugar,921
Sugar,987
Sugar Alcohol,389
Sulfate,860
Sunflower Lecithin,680
Sunflower Lecithin,731
Sunflower Oil,827
Sweetener,616
Sweetener,620
Sweetener Blend,226
Sweeteners,688
Sweeteners,698
Talc,276
Tapioca Syrup,922
Tartaric Acid,408
Tartaric Acid,958
Titanium Dioxide,158
Titanium Dioxide,277
Titanium Dioxide,395
Titanium Dioxide,429
Trace Mineral Concentrate,904
Trace Minerals,253
Trace Minerals,849
Turmeric,326
Vanadium,828
Vanilla,200
Vanilla Flavor,438
Vanilla Flavor,447
Vegetable Acetoglycerides,430
Vegetable Nutrients,906
Vegetable Oil,392
Vitamin A,161
Vitamin A,184
Vitamin A,306
Vitamin A,338
Vitamin A,378
Vitamin A,398
Vitamin A,474
Vitamin A,550
Vitamin A,594
Vitamin A,623
Vitamin A,659
Vitamin A,660
Vitamin A,711
Vitamin A,743
Vitamin A,829
Vitamin A,864
Vitamin A,908
Vitamin A,928
Vitamin A,949
Vitamin A,966
Vitamin A,1036
Vitamin B Complex,281
Vitamin B Complex,285
Vitamin B1,183
Vitamin B1,305
Vitamin B1,307
Vitamin B1,393
Vitamin B1,394
Vitamin B1,593
Vitamin B1,657
Vitamin B1,658
Vitamin B1,956
Vitamin B1,1033
Vitamin B12,165
Vitamin B12,308
Vitamin B12,349
Vitamin B12,399
Vitamin B12,499
Vitamin B12,570
Vitamin B12,595
Vitamin B12,631
Vitamin B12,661
Vitamin B12,702
Vitamin B12,744
Vitamin B12,923
Vitamin B12,935
Vitamin B12,995
Vitamin B2,178
Vitamin B2,303
Vitamin B2,309
Vitamin B2,379
Vitamin B2,590
Vitamin B2,652
Vitamin B2,760
Vitamin B2,950
Vitamin B2,1020
Vitamin B3,173
Vitamin B3,300
Vitamin B3,369
Vitamin B3,370
Vitamin B3,500
Vitamin B3,573
Vitamin B3,585
Vitamin B3,646
Vitamin B3,647
Vitamin B3,945
Vitamin B3,1012
Vitamin B3,1013
Vitamin B5,167
Vitamin B5,301
Vitamin B5,350
Vitamin B5,371
Vitamin B5,501
Vitamin B5,568
Vitamin B5,589
Vitamin B5,632
Vitamin B5,648
Vitamin B5,936
Vitamin B5,986
Vitamin B5,1014
Vitamin B6,177
Vitamin B6,310
Vitamin B6,377
Vitamin B6,400
Vitamin B6,502
Vitamin B6,576
Vitamin B6,596
Vitamin B6,651
Vitamin B6,662
Vitamin B6,710
Vitamin B6,862
Vitamin B6,948
Vitamin B6,1019
Vitamin B6,1037
Vitamin B7,339
Vitamin B7,929
Vitamin B9,356
Vitamin B9,583
Vitamin B9,633
Vitamin B9,937
Vitamin C,160
Vitamin C,227
Vitamin C,236
Vitamin C,244
Vitamin C,257
Vitamin C,311
Vitamin C,335
Vitamin C,336
Vitamin C,383
Vitamin C,401
Vitamin C,457
Vitamin C,503
Vitamin C,504
Vitamin C,551
Vitamin C,558
Vitamin C,567
Vitamin C,597
Vitamin C,614
Vitamin C,622
Vitamin C,663
Vitamin C,699
Vitamin C,725
Vitamin C,790
Vitamin C,830
Vitamin C,865
Vitamin C,909
Vitamin C,925
Vitamin C,926
Vitamin C,967
Vitamin C,982
Vitamin C,1038
Vitamin D,159
Vitamin D,245
Vitamin D,246
Vitamin D,266
Vitamin D,284
Vitamin D,312
Vitamin D,342
Vitamin D,402
Vitamin D,431
Vitamin D,455
Vitamin D,475
Vitamin D,476
Vitamin D,477
Vitamin D,512
Vitamin D,517
Vitamin D,552
Vitamin D,553
Vitamin D,565
Vitamin D,598
Vitamin D,606
Vitamin D,626
Vitamin D,664
Vitamin D,745
Vitamin D,766
Vitamin D,769
Vitamin D,775
Vitamin D,831
Vitamin D,832
Vitamin D,842
Vitamin D,910
Vitamin D,911
Vitamin D,912
Vitamin D,932
Vitamin D,968
Vitamin D,1039
Vitamin D,1040
Vitamin E,166
Vitamin E,278
Vitamin E,313
Vitamin E,396
Vitamin E,403
Vitamin E,406
Vitamin E,407
Vitamin E,478
Vitamin E,554
Vitamin E,599
Vitamin E,665
Vitamin E,669
Vitamin E,703
Vitamin E,746
Vitamin E,833
Vitamin E,843
Vitamin E,913
Vitamin E,969
Vitamin E,1041
Vitamin K,314
Vitamin K,372
Vitamin K,404
Vitamin K,479
Vitamin K,600
Vitamin K,666
Vitamin K,946
Vitamin K,1042
Vitamin K1,315
Vitamin K2,555
Vitamin K2,747
Vitamin K2,770
Vitamin K2,834
Whey Protein,218
Whey Protein,219
Whey Protein,233
Whey Protein,247
Whey Protein,248
Whey Protein,414
Whey Protein,621
Whey Protein,685
Whey Protein,732
Whey Protein,733
Whey Protein,757
Whey Protein,835
Whey Protein,845
Whey Protein,978
Whey Protein,979
Whey Protein,1043
Whey Protein,1044
Whey Protein Concentrate,449
Whey Protein Concentrate,681
Whey Protein Isolate,441
Whey Protein Isolate,450
Whey Protein Isolate,682
Xanthan Gum,207
Xanthan Gum,220
Xanthan Gum,234
Xanthan Gum,451
Xanthan Gum,980
Xanthan Gum,1045
Yellow 6 Lake,279
Zeaxanthin,836
Zinc,228
Zinc,249
Zinc,250
Zinc,280
Zinc,316
Zinc,405
Zinc,480
Zinc,557
Zinc,578
Zinc,601
Zinc,615
Zinc,667
Zinc,668
Zinc,726
Zinc,748
Zinc,791
Zinc,837
Zinc,881
Zinc,915
Zinc,957
Zinc,1046
